Script started on 2025-12-26 14:23:58+07:00 [TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="141" LINES="36"]
[?2004h]0;gpm@codeby: ~/lesson4[01;32mgpm@codeby[00m:[01;34m~/lesson4[00m$ ps aux [K
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  24324 13976 ?        Ss   Dec25   0:04 /sbin/init
root         101  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/40-pciehp]
root         102  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/41-pciehp]
root         103  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/42-pciehp]
root         104  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/43-pciehp]
root         105  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/44-pciehp]
root         106  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/45-pciehp]
root         107  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/46-pciehp]
root         108  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/47-pciehp]
root         109  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/48-pciehp]
root         110  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/49-pciehp]
root         111  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/50-pciehp]
root         112  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/51-pciehp]
root         113  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/52-pciehp]
root         114  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/53-pciehp]
root         115  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/54-pciehp]
root         116  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/55-pciehp]
root         117  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-acpi_thermal_pm]
root         119  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-mld]
root         120  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/3:1H-kblockd]
root         121  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-ipv6_addrconf]
root         123  0.0  0.0      0     0 ?        I    Dec25   0:00 [kworker/u512:1-ipv6_addrconf]
root         127  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-kstrp]
root         129  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/u517:0]
root         257  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-ata_sff]
